Geography,What is the capital of Turkey?,Ankara
Geography,What is the national animal of China?,Giant panda
Geography,Which Turkish city has the name of a cartoon character?,Batman
Geography,What is the noisiest city in the world?,Hong Kong
Geography,What is the name of the desert area in Mexico?,Sonora
Geography,What is a very cold part of Russia?,Siberia
Geography,How many continents are there?,Seven
Geography,On which Italian island is Palermo?,Sicily
Geography,How many time zones are there in the world?,Twenty-four
Geography,Which is the largest desert on earth?,Sahara
Geography,Which river is flowing through Rome?,Tiber
Geography,Which country did once have the name Rhodesia?,Zimbabwe
Geography,What island which belonged to Denmark was independent in 1944?,Iceland
Geography,What is the largest state of the United States?,Alaska
Geography,On which continent can you visit Sierra Leone?,Africa
Geography,Which European river does flow through six different countries?,Donau river
Geography,What is the longest river in Europe?,Wolga river
Geography,Through which capital does the Liffey river flow?,Dublin
Geography,What is the second largest country in Europe after Russia?,France
Geography,What is the capital of the American state Hawaii?,Honolulu
Geography,What do the Japanese people call their own country?,Nippon
Geography,In which country is Krakow located?,Poland
Geography,What is the largest city in Canada?,Toronto
Geography,What is the capital city of Australia ?,Canberra
Geography,Which two seas are joined by the Suez Canal?,The Mediterranean Sea and the Red Seas
Geography, What is the largest city and commercial capital of Sri Lanka?, Colombo
Geography, What country is the second largest in the world by area?, Canada
Geography, What is the name of the former country that was succeeded by countries such as Serbia; Croatia and Slovenia?, Yugoslavia
Geography, Where is the Luxor Hotel & Casino located?, Paradise; Nevada
History, Which German Count invented the zeppelin?,Count (Von) Zeppelin
History, Who was the first president of the USA?,George Washington
History, Who was the second president of the United States?,John Adams
History, How many women did Henry VIII have?,Six women
History, In which city was the Titanic built?,Belfast
History, What was the name of Napoleon's first wife?,Josephine
History, Which city became capital of West-Germany in 1949?,Bonn
History, On which island was Napoleon born?,Corsica
History, How many children did Queen Victoria have?,Nine children
History, Which war was ended by the signing the armistice on July 27 th 1953?,The Korean War
History, When became Albania an independent country? In 1713; 1813 or 1913?,In the year 1913
History, Xerxes ruled a great empire around the fifth century BC. Which empire?,The Persian empire
History, Which French king was called the Sun King?,Louis XIV
History, What was in England the northern frontier of the Roman Empire?,Hadrian's wall
History, Which German war criminal was for 21 years the only inmate of Spandau complex?,Rudolf Hess
History, Who did Greenland discover?,Erik de Rode
History, Which Mexican rebel was shot in 1923 and died?,Pancho Villa
History, Which building in Athens was destroyed by a Venetian cannon ball in the 17th century?,Parthenon
History, What was the name of the Protestant revolution against the domination of the Pope?,Reformation
History, Who was the first king of Belgium ?,Leopold I
History, What was the former name of New York?,New Amsterdam
History, Which country was formerly called Ceylon?,Sri Lanka
History, What was the Latin name of Paris in Roman times?,Lutetia
History, Which city was the capital of Australia from 1901 to 1927?,Melbourne
History, Which country sent its navy around the world to fight the Japanese in 1904?,Russia
Film/TV,How many oscars did the Titanic movie got?,Eleven
Film/TV,How many Tomb Raider movies were made?,Two movies
Film/TV,Which malformation did Marilyn Monroe have when she was born?,Six toes
Film/TV,What is the house number of the Simpsons?,Number 742
Film/TV,What is the name of the prison in the film The Rock?,Alcatraz
Film/TV,Who is the protagonist in the Last Action Hero film?,Arnold Schwarzenegger
Film/TV,What is the pseudonym of Allen Stewart Koningsberg?,Woody Allen
Film/TV,What is the name of the little dragon in the animated movie Mulan?,Mushu
Film/TV,Which actor does play Sonny Crockett in Miami Vice 2006?,Colin Farell
Film/TV,Who is the director of Reservoir Dogs?,Quentin Tarantino
Film/TV,Who is the director of the X-files?,Rob Bowman
Film/TV,Who was the male protagonist in The Horse Wisperer?,Robert Redford
Film/TV,Who did play the role of Peter Pan in the Peter Pan movie?,Robin Williams
Film/TV,Which Italian film director is considered as the father of the spaghetti western?,Sergio Leone
Film/TV,What number is on Herbie the beatle?,Fifty-three
Film/TV,Give the name of the best James Bond parody.,Austin Powers
Film/TV,What is the name of the bald commander of the Enterprise in Star Trek?,Captain Picard
Film/TV,What is the name of Steven Spielberg s black-and-white-film about the second world war?,Schindler's List
Film/TV,Who was the leading actress in Sister act I en II ?,Whoopi Goldberg
Film/TV,What is the profession of Popeye?,Seaman
Film/TV,Who was the director of the movie The Piano?,Jane Campion
Film/TV,Who was Mozart s great rival in Amadeus movie?,Antonio Salieri
Film/TV,Which French woman was the most famous actress in the world in the late 19th and early 20th century?,Sarah Bernhardt
Film/TV, Which actress married Michael Douglas in 2000?, Catherine Zeta-Jones
Film/TV, Donald J. Trump's Middle Name is..., John
Film/TV, What year did radio icon Howard Stern start a job at radio station WNBC?,1982
Film/TV, What was the cause of death for Freddie Mercury?, Pneumonia
Music,What is Elvis Presley s middle name?,Aaron
Music,Who is the singer of The Counting Crows?,Adam Duritz
Music,Who was the Queen of Soul?,Aretha Franklin
Music,What is the lowest male voice?,Bass voice
Music,Which famous group was once known as The Quarrymen?,The Beatles
Music,What was the name of AC / DC's lead singer who died in 1980?,Bon Scott
Music,What is Madonna's full name?,Madonna Louise Ciccone
Music,What is the name of the Irish singer who won the Eurovision Song Contest twice?,Johnny Logan
Music,What is the noisy invention of Louis Glass in 1890 called?,Jukebox
Music,Who is the frontman of The Prodigy?,Keith Flint
Music,Who is the drummer of Metallica?,Lars Ulrich
Music,Which group did have a hit with the Macarena?,Los Del Rio
Music,Who did win the most Grammy Awards in the 80?,Michael Jackson
Music,How many strings has a mandolin got?,Eight strings
Music,What is the biggest hit of Bing Crosby?,White Christmas
Music,What is the surname of the singer Rihanna?,Fenty
Music,Which British pop group had a hit called Angel Eyes in the seventies?,Roxy Music
Music,How many lines has a music staff (or music stave) got?,Five lines
Music,Which singer was nicknamed the Voice of Europe after having wun the Eurovision Song Contest three times?,Johnny Logan
Music,Who composed the music for the Spaghetti Western The Good; The Bad and The Ugly with Clint Eastwood ?,Ennio Morricone
Nature,What is the national animal of Canada?,North American beaver
Nature,What is the national animal of Albania?,Golden eagle
Nature,Which dog used to be sacred in China?,Pekingese
Nature,Urticaria is a skin disease otherwise known as what?,Hives
Nature,What kind of animal is the largest living creature on Earth,Whale
Nature,Give another name for the study of fossils?,Paleontology
Nature,What do dragonflies prefer to eat?,Mosquitoes
Nature,What do you get when you crossbreed a donkey and a horse?,Hinny
Nature,Which insects cannot fly but can jump higher than 30 cm?,Fleas
Nature,What is the name of the European Bison?,Wisent
Nature,What is called a fish with a snake-like body?,Eel fish
Nature,In which city is the oldest zoo in the world?,Vienna
Nature,After which animals are the Canary Islands named?,Dogs
Nature,Which plant does the Canadian flag contain?,Maple
Nature,Which is the largest species of the tiger?,Siberian tiger
Nature,The bite of which insect causes the Lyme Disease?,Deer Tick
Science,Who was the first man to fly around the earth with a spaceship?,Gagarin
Science,On which hemisphere were the most dinosaur skeletons found?,The northern hemisphere
Science,What color is cobalt?,Blue
Science,Who invented vulcanized rubber?,Goodyear
Science,What is the organ that is affected when one is suffering from hepatitis?,Liver
Science,Which device do we use to look at the stars?,Telescope
Science,Which unit indicates the light intensity?,Candela
Science,Who is the father of the atomic bomb?,Robert Oppenheimer
Science,Who invented the barometer?,Torricelli
Science,Who was the first American in space?,Alan Shepard
Science,Two brothers invented the hot air balloon. What was their surname?,Montgolfier
Science,Who was the inventor of the steam engine?,James Watt
Science,Which device was invented by Henry Mill?,The typewriter
Science,What is the lightest existing metal?,Aluminium
Science,What is the substance known by the chemical formula NH3?,Ammoniac
Science,What are the three primary colors?,Blue; yellow and red
Science,Who discoved one of the first antibiotics: penicillin ?,Alexander Fleming
Science,Which planet is nearest the sun?,Mercury
Sports,In which year did Maradona score a goal with his hand?,1986
Sports,What is the national sport in Japan?,Sumo Wrestling
Sports,How many minutes is a rugby match?,80 Minutes
Sports,In which country were the first Olympic Games held?,Greece
Sports,How many players are on each side of the net in beach volleyball?,Two players
Sports,What should you do in swordplay when you break your saber?,Replace it
Sports,How matches did Mohammed Ali lose in his career?,Only one
Sports,How long is an Olympic swimming pool?,Fifty meters
Sports,At what number does one begin when playing Darts?,The number 501
Sports,Which car won Fernando Alonso his first tittle in Formula 1 with?,Renault
Sports,Who was the champion of the Tour de France from 1999 to 2005?,Lance Armstrong
Sports,Which cyclist was also called the cannibal?,Eddy Merckx
Sports,How many players has a hockey team got on the ice?,Six players
Sports,What was the Olympic city of 1992 ?,Barcelona
Sports,What is the largest stadium in the world ?,Azteca Stadium in Mexico city
Sports,Which two sports are practiced on a green table ?,Billiards and ping-pong
Sports,In which country is the Interlagos F1-circuit ?,Brazil
Sports,What is the name of the Barcelona football stadium ?,Camp Nou
Sports,Where were the Olympic Games held in 1996 ?,Atlanta
Sports,What is the nickname of the Belgian national soccer team?,Red devils
Sports,Which ball is worth the most points in English snooker?,The black ball
Sports,Which nickname has Florence Griffith got?,Fast Flo
Sports,What is called a yoga posture?,Asana
Sports,In which sport can you win the Davis Cup?,Tennis
Sports,Which popular fitness method was invented by a German?,Pilates
Literature,Who is the fourth musketeer besides D Artagnan; Athos en Porthos?,Aramis
Literature,Who killed the Minotaur ?,Theseus
Literature,Which Egyptian woman was considered as the inventor of agriculture? She married her brother and together they had a son: Horus.,Isis
Literature,Who is the giant with 100 eyes according to the Greek mythology?,Argus
Literature,Whose box did Epimethius open?,Pandora's box
Literature,What is the name of the winged horse in Greek mythology?,Pegasus
Literature,On which island did Ernest Hemingway stay to be able to write much?,Cuba
Literature,Where is set the book A Small Town in Germany by John Le Carre?,Bonn
Literature,In which country did Shakespeare's Hamlet live?,Denmark
Literature,Who was the wife of Othello?,Desdemona
Literature,Who was the imaginary love of Don Quixote?,Dulcinea
Literature,In which two languages did the Irish writer Samuel Beckett wrote?,English and French
Literature,Which book Mary Shelley wrote when she was 19?,Frankenstein
Literature,"Who said ""I think therefore I am""?",Rene Descartes
Literature,What is the English name of the Russian novel titled Voyna i Mir?,War and peace
Literature,What is the name of the infamous novel by Vladimir Nabokov?,Lolita
Language,What is the name of a medicinal mud?,Fango
Language,What do you call a native of Kenya?,Kenyan
Language,What is the official language in Kosovo?,Albanian
Language,Which weekday is domingo in Spanish and dimanche in French?,Sunday
Language,What do you call a motorcycle with four wheels?,Quad
Language,How do you say AIDS in French?,Sida
Language,What is the meaning of the Arab word Habibi?,Sweetheart
Language,What does the abbreviation GPS mean?,Global Positioning System
Language,What is the most spoken language in the world?,Chinese language
Language,What does the abbreviation SMS mean?,Short Message Service
Language,What is another word for wall painting or mural?,Fresco
Language,Which language group includes Irish; Welsh and Breton?,Celtic languages
Language,What is the meaning of the following abbreviation: IBM?,International Business Machines
Language,What is the islamic term for fast?,Ramadan
Language,What is the much nicer name for the dung beetle that was used in the ancient Egypt?,Scarab
Language,What is the Turkish word for lamb?,Kebab
Language,What is the Spanish word for black?,Negro
Language,What does glasnost mean in Russian politics?,Openness
Language,What does the name of the Russian newspaper Pravda mean?,Truth
Language,What does the Latin proverb -Errare Humanum est- mean,Err is human
Language,To which language is Portuguese closely related?,Spanish language
Language,What word is used in Hawaii both to greet and to say goodbye?,Aloha
Language,What is the singular of Scampi ?,Scampo
Language,Which is the world's second largest French-speaking city?,Montreal (Canada)
Food and Drink,What color is the French wine Beaujolais?,Red color
Food and Drink,What should you do in the Arab countries to show that the food was delicious?,Belch
Food and Drink,Which nuts are used in marzipan?,Almonds
Food and Drink,From which cactus is tequila made?,Agave
Food and Drink,From which country does pitta bread originate?,Greece
Food and Drink,Which country is the origin of the cocktail Mojito?,Cuba
Food and Drink,What is the well known drink from Greece?,Ouzo
Food and Drink,What is called a meal in open air?,Picnic
Food and Drink,Which cheese is traditionally used for pizzas?,Mozzarella
Food and Drink,Which country is the origin of the Stella beer?,Belgium
Food and Drink,From which country is the famous Emmental Cheese?,Switzerland
Food and Drink,What is the most famous Mexican beer?,Corona
Food and Drink,What is the name of the gas that let rise bread dough?,Carbon dioxide
Food and Drink,What is Japanese sake made from?,Rice
Food and Drink,What is bottled a lot in the French town Vichy?,Water
Food and Drink,Which French town is known for its mustard?,Dijon
Food and Drink,What is the chemical formula for Table Salt?,NaCl
Food and Drink,What beer is marketed as The king of beers?,Budweiser
Food and Drink,What is the name of the pan in which one makes paella?,Paella (Paella means pan)
Food and Drink,With which fruit is Kriek beer (a Belgium brew) is flavoured?,Cherries
Food and Drink,What is the real meaning of the Greek word Pita?,Bread
Food and Drink,What is the Hungarian word for pepper?,Paprika
Food and Drink,What is a banana called in Malaysia?,Pisang
Food and Drink,What is the most famous beer in Ireland?,Guiness
Economy,What used to be the currency of Italy?,Lira
Economy,In what country was pesetas the currency?,Spain
Economy,Which country is the largest producer of olive oil?,Spain
Economy,What is the world s largest office building?,Pentagon
Economy,Which currency is at home on the Johannesburg Stock Exchange?,South African rand
Economy,What is the main component in glass?,Sand
Economy,Which country is the origin of the car brands Daewoo and Kia?,South Korea
Economy,Where does a car with the letters CH come from?,Switzerland
Economy,What is the national currency of Albania?,Albanese lek
Economy,What is the national airline of Australia?,Qantas
Economy,In which military camp is the US gold reserve stored?,Fort Knox
Economy,What is the national currency of Laos?,Laos Kip
Economy,Which prehistoric animal does also indicate a large tanker?,Mammoth
Economy,What is the brand of the oldest sewing machines?,Singer
Economy,Where was built the first subway?,In London
Economy,Between which two places did the first railway track in the UK run?,Stockton to Darlington
Economy,In which country is Varig Airlines based?,Brazil
Economy,What is Pakistan s currency?,Rupee
Economy,How many digits does an IBAN number consist of?,Fourteen digits
Economy,What is the official currency in Nepal?,Rupee
Economy,Which Japanse car brand did exist from 1932 until 1983?,Datsun
Economy,What is the biggest oil company in the United States?,Exxon Mobil
Economy,Which company was establised in the year 1962 by Sam Walton and is one of the biggest employers in the world?,Walmart
Economy,Which Italian family is in charge of FIAT?,Agnelli
Economy,What was the currency of Greece before the introduction of the EURO?,Drachme
Culture,What color are often the domes of churches in Russia?,Gold colored
Culture,In which Spanish city did the Joan Miro museum open in 1975?,Barcelona
Culture,Which Italian artist painted the Birth of Venus?,Botticelli
Culture,Who was the original author of Dracula?,Bram Stoker
Culture,In which city is the famous Manneken Pis fountain?,Brussels
Culture,Who is the inventor of photography?,Daguerre
Culture,What is the first book of the Old Testament?,Genesis
Culture,Who did the Mona Lisa paint?,Leonardo Da Vinci
Culture,In which English town did Adolf Hitler study art?,Liverpool
Culture,Which famous French engineer designed two bridges for the city of Porto?,Gustave Eiffel
Culture,In which city can you see Michelangelo’s David?,Florence
Culture,What is called the Jewish candlestick with special religious meaning?,Menorah
Culture,What is the Kabbalah?,A System of Jewish Mystical Beliefs
Culture,Who painted the ceiling of the Sistine Chapel?,Michelangelo
Culture,In which country was the famous painter El Greco born?,Greece
Culture,In which city is the composer Frédéric Chopin buried?,Paris
Culture,Who did paint the famous painting Guernica?,Picasso
Culture,In which city did Romeo and Julia live?,Verona
